,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Jun-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1979 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1979 00:00:00',429.0459,394.3341,10.47,9.64,9.14,-0.223953
'01-Aug-1979 00:00:00',430.0003,393.6755,10.94,9.98,9.46,-0.317488
'01-Sep-1979 00:00:00',430.9456,393.8156,11.43,10.84,10.06,-0.089456
'01-Oct-1979 00:00:00',432.0151,394.3526,13.77,12.44,11.49,-0.912158
'01-Nov-1979 00:00:00',433.0733,394.2521,13.18,12.39,11.81,-0.166222
'01-Dec-1979 00:00:00',434.2506,394.3225,13.78,11.98,11.39,0.127869
'01-Jan-1980 00:00:00',435.6709,394.7512,13.82,12.06,11.5,-0.102562
'01-Feb-1980 00:00:00',436.9448,394.8297,14.13,13.92,13.42,-0.584882
'01-Mar-1980 00:00:00',438.3276,394.5222,17.19,15.82,14.88,0.256076
'01-Apr-1980 00:00:00',439.3214,392.4821,17.61,13.3,12.5,-0.731175
'01-May-1980 00:00:00',440.3054,389.9928,10.98,9.39,9.45,0.024596
'01-Jun-1980 00:00:00',441.2798,388.7642,9.47,8.16,8.73,-0.089556
'01-Jul-1980 00:00:00',441.401,388.1019,9.03,8.65,9.03,0.09304
'01-Aug-1980 00:00:00',442.1247,388.3893,9.61,10.24,10.53,-0.041169
'01-Sep-1980 00:00:00',442.9626,389.9868,10.87,11.52,11.57,-0.073297
'01-Oct-1980 00:00:00',443.9116,391.2341,12.81,12.49,12.09,-0.297335
'01-Nov-1980 00:00:00',444.9685,392.9452,15.85,14.15,13.51,0.26447
'01-Dec-1980 00:00:00',445.8988,393.5349,18.9,14.88,14.08,-0.103086
'01-Jan-1981 00:00:00',446.8204,392.9798,19.08,14.08,13.26,0.324857
'01-Feb-1981 00:00:00',447.7337,392.5141,15.93,14.57,13.92,0.103979
'01-Mar-1981 00:00:00',448.4132,393.0321,14.7,13.71,13.57,-0.035855
'01-Apr-1981 00:00:00',448.9759,392.6028,15.72,14.32,14.15,0.501343
'01-May-1981 00:00:00',449.6471,393.2151,18.52,16.2,15.46,0.263799
'01-Jun-1981 00:00:00',450.535,393.6755,19.1,14.86,14.51,0.424592
'01-Jul-1981 00:00:00',451.6339,394.302,19.04,15.72,15.35,0.412094
'01-Aug-1981 00:00:00',452.396,394.295,17.82,16.72,16.28,0.239638
'01-Sep-1981 00:00:00',453.3674,393.6595,15.87,16.52,16.46,0.396551
'01-Oct-1981 00:00:00',453.6891,392.9584,15.08,15.38,15.54,0.57229
'01-Nov-1981 00:00:00',454.1165,391.8488,13.31,12.41,12.88,0.160274
'01-Dec-1981 00:00:00',454.4358,390.7376,12.37,12.85,13.29,0.545328
'01-Jan-1982 00:00:00',454.7541,388.7501,13.22,14.32,14.57,0.756894
'01-Feb-1982 00:00:00',455.0714,390.6884,14.78,14.73,14.82,0.453381
'01-Mar-1982 00:00:00',455.0714,389.9463,14.68,13.95,14.19,0.908091
'01-Apr-1982 00:00:00',455.3877,389.0759,14.94,13.98,14.2,0.69748
'01-May-1982 00:00:00',456.3306,388.457,14.45,13.34,13.78,0.712093
'01-Jun-1982 00:00:00',457.4711,388.1209,14.15,14.07,14.47,0.642981
'01-Jul-1982 00:00:00',457.9852,387.8044,12.59,13.24,13.8,0.613466
'01-Aug-1982 00:00:00',458.1902,386.9698,10.12,11.43,12.32,-0.113349
'01-Sep-1982 00:00:00',458.1902,386.6297,10.31,10.85,11.78,0.476664
'01-Oct-1982 00:00:00',458.5987,385.766,9.71,9.32,10.19,0.125427
'01-Nov-1982 00:00:00',458.4967,385.3745,9.2,9.16,9.8,0.499413
'01-Dec-1982 00:00:00',458.1902,384.6451,8.95,8.91,9.66,0.697482
'01-Jan-1983 00:00:00',458.3947,386.542,8.68,8.62,9.33,0.328926
'01-Feb-1983 00:00:00',458.4967,385.9379,8.51,8.92,9.64,0.267022
'01-Mar-1983 00:00:00',458.5987,386.7701,8.77,9.04,9.66,0.215837
'01-Apr-1983 00:00:00',459.3098,387.9783,8.8,8.98,9.57,0.119112
'01-May-1983 00:00:00',459.7138,388.6617,8.63,8.9,9.49,-0.081389
'01-Jun-1983 00:00:00',459.9152,389.2026,8.98,9.66,10.18,0.087245
'01-Jul-1983 00:00:00',460.3168,390.7107,9.37,10.2,10.69,-0.075867
'01-Aug-1983 00:00:00',460.617,391.7938,9.56,10.53,11.07,-0.177673
'01-Sep-1983 00:00:00',460.9162,393.3054,9.45,10.16,10.79,-0.047112
'01-Oct-1983 00:00:00',461.3138,394.1108,9.48,9.81,10.57,-0.06537
'01-Nov-1983 00:00:00',461.611,394.4186,9.34,9.94,10.66,0.047045
'01-Dec-1983 00:00:00',461.9073,394.9284,9.47,10.11,10.84,0.129582
'01-Jan-1984 00:00:00',462.5953,396.9331,9.56,9.9,10.64,0.057239
'01-Feb-1984 00:00:00',463.0838,397.4271,9.59,10.04,10.79,-0.050522
'01-Mar-1984 00:00:00',463.3758,397.8902,9.91,10.59,11.31,0.030465
'01-Apr-1984 00:00:00',463.7637,398.5056,10.29,10.9,11.69,0.147306
'01-May-1984 00:00:00',463.9572,398.9998,10.32,11.66,12.47,-0.285679
'01-Jun-1984 00:00:00',464.1502,399.3539,11.06,12.08,12.91,-0.006005
'01-Jul-1984 00:00:00',464.5352,399.684,11.23,12.03,12.88,-0.120269
'01-Aug-1984 00:00:00',464.823,399.7602,11.64,11.82,12.43,0.221358
'01-Sep-1984 00:00:00',465.1099,399.6007,11.3,11.58,12.2,-0.017891
'01-Oct-1984 00:00:00',465.4912,399.4657,9.99,10.9,11.6,-0.233755
'01-Nov-1984 00:00:00',465.6813,399.8443,9.43,9.82,10.65,-0.067831
'01-Dec-1984 00:00:00',465.8711,399.9486,8.38,9.33,10.18,0.001616
'01-Jan-1985 00:00:00',466.0605,399.7064,8.35,9.02,9.93,-0.074955
'01-Feb-1985 00:00:00',466.6265,400.132,8.5,9.29,10.17,-0.095078
'01-Mar-1985 00:00:00',467.0958,400.2525,8.58,9.86,10.71,0.138643
'01-Apr-1985 00:00:00',467.2829,400.0103,8.27,9.14,10.09,-0.029021
'01-May-1985 00:00:00',467.4696,400.1366,7.97,8.46,9.39,-0.194037
'01-Jun-1985 00:00:00',467.7491,400.2067,7.53,7.8,8.69,0.212439
'01-Jul-1985 00:00:00',467.935,399.5114,7.88,7.86,8.77,0.134211
'01-Aug-1985 00:00:00',468.1205,399.9523,7.9,8.05,8.94,0.146921
'01-Sep-1985 00:00:00',468.3057,400.375,7.92,8.07,8.98,0.250984
'01-Oct-1985 00:00:00',468.675,399.9734,7.99,8.01,8.86,0.294745
